"DEJAVNOST","2010 CO2 (Gg)","2010 N2O (Mg)","2010 CH4 (Mg)","2010 SF6 (Mg)","2011 CO2 (Gg)","2011 N2O (Mg)","2011 CH4 (Mg)","2011 SF6 (Mg)","2012 CO2 (Gg)","2012 N2O (Mg)","2012 CH4 (Mg)","2012 SF6 (Mg)","2013 CO2 (Gg)","2013 N2O (Mg)","2013 CH4 (Mg)","2013 SF6 (Mg)","2014 CO2 (Gg)","2014 N2O (Mg)","2014 CH4 (Mg)","2014 SF6 (Mg)","2015 CO2 (Gg)","2015 N2O (Mg)","2015 CH4 (Mg)","2015 SF6 (Mg)","2016 CO2 (Gg)","2016 N2O (Mg)","2016 CH4 (Mg)","2016 SF6 (Mg)","2017 CO2 (Gg)","2017 N2O (Mg)","2017 CH4 (Mg)","2017 SF6 (Mg)"
"C16 Obdelava in predelava lesa; proizvodnja izdelkov iz lesa, plute, slame in protja, razen pohištva",58.5,8.9,52.2,-,62.0,7.9,42.9,-,61.1,6.7,33.7,-,52.2,8.0,41.3,-,53.5,11.4,67.1,-,55.0,10.5,57.2,-,55.3,10.6,54.1,-,59.9,10.9,53.3,-
"C17 Proizvodnja papirja in izdelkov iz papirja",384.8,4.5,27.7,-,352.5,4.8,29.7,-,340.8,4.7,28.5,-,334.5,4.6,28.3,-,326.0,4.8,28.7,-,313.1,4.7,28.2,-,309.0,4.9,29.5,-,310.6,5.4,32.6,-
"C18 Tiskarstvo in razmnoževanje posnetih nosilcev zapisa",24.2,0.4,0.9,-,25.7,0.5,0.9,-,25.3,0.5,0.8,-,24.8,0.6,0.8,-,24.1,0.6,0.7,-,25.5,0.7,0.7,-,23.7,0.8,0.5,-,24.4,0.9,0.4,-
"C19 Proizvodnja koksa in naftnih derivatov",0.3,0.0,0.0,-,0.2,0.0,0.0,-,0.1,0.0,0.0,-,0.1,0.0,0.0,-,0.1,0.0,0.0,-,0.0,0.0,0.0,-,0.0,0.0,0.0,-,-,-,-,-
"C20 Proizvodnja kemikalij, kemiènih izdelkov",223.2,2.8,205.9,-,162.7,3.0,18.5,-,139.4,2.8,16.1,-,147.9,3.2,18.9,-,147.3,3.7,21.3,-,144.8,4.7,29.0,-,146.1,4.9,30.9,-,147.2,5.1,31.4,-
"C21 Proizvodnja farmacevtskih surovin in preparatov",70.3,0.4,2.8,-,65.4,0.4,3.1,-,62.9,0.4,2.5,-,62.9,0.4,2.8,-,61.4,0.4,3.0,-,63.9,0.5,3.5,-,63.4,0.4,2.7,-,63.0,0.4,2.5,-
"C22 Proizvodnja izdelkov iz gume in plastiènih mas",107.0,1.3,3.0,-,101.3,1.4,2.9,-,95.3,1.4,2.5,-,94.8,1.5,2.5,-,94.7,1.6,2.4,-,94.4,1.7,2.3,-,92.4,2.0,1.8,-,100.0,2.4,2.5,-
"C23 Proizvodnja nekovinskih mineralnih izdelkov",976.7,9.6,50.6,-,878.6,8.5,43.6,-,834.2,8.8,46.3,-,926.0,9.9,50.3,-,970.3,11.7,59.6,-,886.0,10.6,56.2,-,873.8,10.5,55.2,-,975.2,12.0,64.4,-
"C24 Proizvodnja kovin",410.3,1.4,8.0,-,462.8,1.6,8.2,-,483.7,1.5,7.9,-,492.3,1.6,8.2,-,490.4,1.7,8.3,-,496.6,1.6,8.0,-,509.5,1.6,8.0,-,554.3,1.8,8.9,-
"C25 Proizvodnja kovinskih izdelkov, razen strojev in naprav",202.7,4.4,7.7,-,215.8,5.2,7.6,-,203.6,5.2,7.3,-,186.9,5.2,6.7,-,192.6,5.7,5.9,-,196.6,6.2,6.0,-,200.8,7.3,5.0,-,216.1,8.3,4.4,-
