"Investicije za varstvo okolja po statistiènih regijah (1000 EUR), Slovenija, letno"

"LETO";"STATISTIÈNA REGIJA";"INVESTICIJE";Investicije za varstvo okolja
"2016";"Koroška";"Upravljanje odpadnih voda";953
"2016";"Savinjska";"Varstvo zraka in klime";5896
"2016";"Savinjska";"Ravnanje z odpadki";1665
"2016";"Savinjska";"Upravljanje odpadnih voda";6539
"2016";"Zasavska";"Varstvo zraka in klime";607
"2016";"Zasavska";"Ravnanje z odpadki";112
"2016";"Zasavska";"Upravljanje odpadnih voda";439
"2016";"Posavska";"Varstvo zraka in klime";105
"2016";"Posavska";"Ravnanje z odpadki";18395
"2016";"Posavska";"Upravljanje odpadnih voda";8055
"2016";"Jugovzhodna Slovenija";"Varstvo zraka in klime";2629
"2016";"Jugovzhodna Slovenija";"Ravnanje z odpadki";2131
"2016";"Jugovzhodna Slovenija";"Upravljanje odpadnih voda";1956
"2016";"Osrednjeslovenska";"Varstvo zraka in klime";14009
"2016";"Osrednjeslovenska";"Ravnanje z odpadki";58380
"2016";"Osrednjeslovenska";"Upravljanje odpadnih voda";16604
"2016";"Gorenjska";"Varstvo zraka in klime";3548
"2016";"Gorenjska";"Ravnanje z odpadki";799
"2016";"Gorenjska";"Upravljanje odpadnih voda";7533
"2016";"Primorsko-notranjska";"Varstvo zraka in klime";187
"2016";"Primorsko-notranjska";"Ravnanje z odpadki";167
"2016";"Primorsko-notranjska";"Upravljanje odpadnih voda";250
"2016";"Goriška";"Varstvo zraka in klime";2992
"2016";"Goriška";"Ravnanje z odpadki";1518
"2016";"Goriška";"Upravljanje odpadnih voda";1338
"2016";"Obalno-kraška";"Varstvo zraka in klime";1102
"2016";"Obalno-kraška";"Ravnanje z odpadki";1147
"2016";"Obalno-kraška";"Upravljanje odpadnih voda";2700
"2017";"Pomurska";"Varstvo zraka in klime";281
"2017";"Pomurska";"Ravnanje z odpadki";3112
"2017";"Pomurska";"Upravljanje odpadnih voda";4057
"2017";"Podravska";"Varstvo zraka in klime";3327
"2017";"Podravska";"Ravnanje z odpadki";51791
"2017";"Podravska";"Upravljanje odpadnih voda";7890
"2017";"Koroška";"Varstvo zraka in klime";1937
"2017";"Koroška";"Ravnanje z odpadki";1382
"2017";"Koroška";"Upravljanje odpadnih voda";710
"2017";"Savinjska";"Varstvo zraka in klime";6561
"2017";"Savinjska";"Ravnanje z odpadki";3229
"2017";"Savinjska";"Upravljanje odpadnih voda";6417
"2017";"Zasavska";"Varstvo zraka in klime";1747
"2017";"Zasavska";"Ravnanje z odpadki";339
"2017";"Zasavska";"Upravljanje odpadnih voda";475
"2017";"Posavska";"Varstvo zraka in klime";312
"2017";"Posavska";"Ravnanje z odpadki";29695
"2017";"Posavska";"Upravljanje odpadnih voda";5751
"2017";"Jugovzhodna Slovenija";"Varstvo zraka in klime";2808
"2017";"Jugovzhodna Slovenija";"Ravnanje z odpadki";701
"2017";"Jugovzhodna Slovenija";"Upravljanje odpadnih voda";3111
"2017";"Osrednjeslovenska";"Varstvo zraka in klime";19120
"2017";"Osrednjeslovenska";"Ravnanje z odpadki";9982
"2017";"Osrednjeslovenska";"Upravljanje odpadnih voda";15181
"2017";"Gorenjska";"Varstvo zraka in klime";1048
"2017";"Gorenjska";"Ravnanje z odpadki";1525
